Crossover rate: 0.75	Mutation rate: 0.05
Gen.	Avg. fitness	Best fitness	Std. fitness
0	512069.00	499869.00	10552.72
1	502869.00	499869.00	4582.58
2	500869.00	499869.00	3000.00
3	499869.00	499869.00	0.00
4	499869.00	499869.00	0.00
5	499869.00	499869.00	0.00
6	499869.00	499869.00	0.00
7	499869.00	499869.00	0.00
8	499869.00	499869.00	0.00
9	499869.00	499869.00	0.00
10	499869.00	499869.00	0.00
11	499869.00	499869.00	0.00
12	499869.00	499869.00	0.00
13	499869.00	499869.00	0.00
14	499869.00	499869.00	0.00
15	499869.00	499869.00	0.00
16	499869.00	499869.00	0.00
17	499869.00	499869.00	0.00
18	499869.00	499869.00	0.00
19	499869.00	499869.00	0.00
20	499869.00	499869.00	0.00
21	499869.00	499869.00	0.00
22	499869.00	499869.00	0.00
23	499869.00	499869.00	0.00
24	499869.00	499869.00	0.00
25	499869.00	499869.00	0.00
26	499869.00	499869.00	0.00
27	499869.00	499869.00	0.00
28	499869.00	499869.00	0.00
29	499869.00	499869.00	0.00
30	499869.00	499869.00	0.00
31	499869.00	499869.00	0.00
32	499869.00	499869.00	0.00
33	499869.00	499869.00	0.00
34	499869.00	499869.00	0.00
35	499869.00	499869.00	0.00
36	499869.00	499869.00	0.00
37	499869.00	499869.00	0.00
38	499869.00	499869.00	0.00
39	499869.00	499869.00	0.00
40	499869.00	499869.00	0.00
41	499869.00	499869.00	0.00
42	499869.00	499869.00	0.00
43	499869.00	499869.00	0.00
44	499869.00	499869.00	0.00
45	499869.00	499869.00	0.00
46	499869.00	499869.00	0.00
47	499869.00	499869.00	0.00
48	499869.00	499869.00	0.00
49	499869.00	499869.00	0.00
50	499869.00	499869.00	0.00
51	499869.00	499869.00	0.00
52	499869.00	499869.00	0.00
53	499869.00	499869.00	0.00
54	499869.00	499869.00	0.00
55	499869.00	499869.00	0.00
56	499869.00	499869.00	0.00
57	499869.00	499869.00	0.00
58	499869.00	499869.00	0.00
59	499869.00	499869.00	0.00
60	499869.00	499869.00	0.00
61	499869.00	499869.00	0.00
62	499869.00	499869.00	0.00
63	499869.00	499869.00	0.00
64	499869.00	499869.00	0.00
65	499869.00	499869.00	0.00
66	499869.00	499869.00	0.00
67	499869.00	499869.00	0.00
68	499869.00	499869.00	0.00
69	499869.00	499869.00	0.00
70	499869.00	499869.00	0.00
71	499869.00	499869.00	0.00
72	499869.00	499869.00	0.00
73	499869.00	499869.00	0.00
74	499869.00	499869.00	0.00
75	499869.00	499869.00	0.00
76	499869.00	499869.00	0.00
77	499869.00	499869.00	0.00
78	499869.00	499869.00	0.00
79	499869.00	499869.00	0.00
80	499869.00	499869.00	0.00
81	499869.00	499869.00	0.00
82	499869.00	499869.00	0.00
83	499869.00	499869.00	0.00
84	499869.00	499869.00	0.00
85	499869.00	499869.00	0.00
86	499869.00	499869.00	0.00
87	499869.00	499869.00	0.00
88	499869.00	499869.00	0.00
89	499869.00	499869.00	0.00
90	499869.00	499869.00	0.00
91	499869.00	499869.00	0.00
92	499869.00	499869.00	0.00
93	499869.00	499869.00	0.00
94	499869.00	499869.00	0.00
95	499869.00	499869.00	0.00
96	499869.00	499869.00	0.00
97	499869.00	499869.00	0.00
98	499869.00	499869.00	0.00
99	499869.00	499869.00	0.00
