some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	Gap from BKS
1	2.00	49.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	23.01	0.00	0.26
2	2.00	50.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.85	0.00	0.26
3	2.00	51.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	23.00	0.00	0.26
4	2.00	52.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.79	0.00	0.26
5	2.00	53.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.70	0.00	0.26
6	2.00	54.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.50	0.00	0.26
7	2.00	55.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.45	0.00	0.26
8	2.00	56.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.10	0.00	0.26
9	2.00	57.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.25	0.00	0.26
10	2.00	58.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	22.02	0.00	0.26
11	2.00	59.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	21.69	0.00	0.26
12	2.00	60.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	21.42	0.00	0.26
13	2.00	61.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	21.46	0.00	0.26
14	2.00	62.00	850.00	12000.00	42500.00	606425.53	606425.53	0.00	0.00	0.00	0.00	21.35	0.00	0.26
