Skip number of rows: 62
Time used: 521,36 seconds

Problem instance parameters: 
Problem size = 19
Time windows = false
Maximum duration = 3
Best known sailing cost = 537616
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,6
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 500
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 75
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 7487
Diversifaction happened at iterations: [500, 1000, 1500, 2987, 3487, 3987, 4487, 4987, 5487, 5987, 6487, 6987, 7487]
Number of crossover restarts: 133579
Number of construction heuristic restarts: 1180

Penalized cost: 658138,59
Gap from BKS: 0,22
Day: 0 - vessel 1: -, vessel 2: [7, 3, 19, 18, 4, 5] cost: 71806,85 dur: 39,38 cap: 138,88, vessel 3: [16, 15, 14, 11, 17, 9, 1] cost: 62770,70 dur: 37,15 cap: 142,60
Day: 1 - vessel 1: [2, 12, 10, 8, 13, 15] cost: 70262,85 dur: 39,49 cap: 124,00, vessel 2: -, vessel 3: -
Day: 2 - vessel 1: -, vessel 2: [14, 5, 4, 18, 19, 3, 7, 13] cost: 81831,94 dur: 47,51 cap: 176,08, vessel 3: [12, 10, 8, 9, 11, 17, 1, 16] cost: 67526,32 dur: 39,61 cap: 167,40
Day: 3 - vessel 1: [15, 14, 7, 6, 17, 11, 1] cost: 65272,13 dur: 37,18 cap: 182,28, vessel 2: -, vessel 3: -
Day: 4 - vessel 1: -, vessel 2: -, vessel 3: [16, 15, 13, 7, 9, 8, 12, 2] cost: 85937,96 dur: 48,45 cap: 163,68
Day: 5 - vessel 1: [14, 5, 4, 18, 19, 3, 7, 13] cost: 81831,94 dur: 47,51 cap: 176,08, vessel 2: [1, 11, 17, 8, 10, 12, 2] cost: 70897,90 dur: 40,00 cap: 142,60, vessel 3: -
Day: 6 - vessel 1: -, vessel 2: -, vessel 3: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_3, number: 3, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	0.00	25.00	1000.00	1000.00	1000.00	601549.14	0.00	0.00	0.00	18.00	0.00	26.54	15.12	0.00	10.83	10.17
1	0.00	26.00	850.00	1200.00	1200.00	605149.14	0.00	0.00	0.00	18.00	0.00	26.52	14.92	0.00	10.83	10.13
2	0.00	27.00	850.00	1200.00	1200.00	605149.14	0.00	0.00	0.00	18.00	0.00	27.79	15.07	0.00	10.83	10.16
3	0.00	28.00	850.00	1200.00	1200.00	605149.14	0.00	0.00	0.00	18.00	0.00	27.80	14.82	0.00	10.83	10.09
4	0.00	29.00	850.00	1200.00	1200.00	605149.14	0.00	0.00	0.00	18.00	0.00	28.07	15.00	0.00	10.83	10.11
5	0.00	30.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	27.77	15.33	0.00	13.00	10.21
6	0.00	31.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	27.51	15.39	0.00	13.00	10.23
7	0.00	32.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	26.81	15.34	0.00	13.00	10.20
8	0.00	33.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	26.15	15.30	0.00	13.00	10.17
9	0.00	34.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.87	15.38	0.00	13.00	10.19
10	0.00	35.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	26.37	15.51	0.00	13.00	10.21
11	0.00	36.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.85	15.31	0.00	13.00	10.15
12	0.00	37.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.78	15.19	0.00	13.00	10.13
13	0.00	38.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.25	15.00	0.00	13.00	10.08
14	0.00	39.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.51	15.08	0.00	13.00	10.10
15	0.00	40.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.73	15.12	0.00	13.00	10.11
16	0.00	41.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.50	15.02	0.00	13.00	10.09
17	0.00	42.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.01	14.95	0.00	13.00	10.07
18	0.00	43.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	24.54	14.88	0.00	13.00	10.06
19	0.00	44.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	25.23	14.86	0.00	13.00	10.04
20	0.00	45.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	24.77	14.80	0.00	13.00	10.02
21	0.00	46.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	24.70	14.91	0.00	13.00	10.04
22	0.00	47.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	24.50	14.83	0.00	13.00	10.02
23	0.00	48.00	850.00	1200.00	1200.00	600128.16	0.00	0.00	19.10	25.00	0.00	24.47	14.92	0.00	13.00	10.04
