Skip number of rows: 62
Time used: 477,00 seconds

Problem instance parameters: 
Problem size = 19
Time windows = false
Maximum duration = 3
Best known sailing cost = 537616
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,6
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 500
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 75
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 7574
Diversifaction happened at iterations: [500, 1000, 1500, 3074, 3574, 4074, 4574, 5074, 5574, 6074, 6574, 7074, 7574]
Number of crossover restarts: 134510
Number of construction heuristic restarts: 1195

Penalized cost: 657874,39
Gap from BKS: 0,22
Day: 0 - vessel 1: [2, 12, 8, 10, 11, 17, 1] cost: 70897,90 dur: 40,00 cap: 142,60, vessel 2: -, vessel 3: [15, 7, 3, 19, 18, 4, 5, 14] cost: 81667,11 dur: 47,44 cap: 176,08
Day: 1 - vessel 1: -, vessel 2: [12, 8, 9, 11, 17, 13, 16] cost: 63185,18 dur: 36,32 cap: 142,60, vessel 3: -
Day: 2 - vessel 1: [1, 13, 7, 14, 15, 16] cost: 64855,22 dur: 37,26 cap: 114,08, vessel 2: -, vessel 3: -
Day: 3 - vessel 1: -, vessel 2: [2, 12, 8, 10, 11, 17, 1] cost: 70897,90 dur: 40,00 cap: 142,60, vessel 3: [5, 4, 18, 19, 3, 7] cost: 71806,85 dur: 39,38 cap: 138,88
Day: 4 - vessel 1: [2, 12, 9, 6, 7, 14, 15, 13] cost: 86512,41 dur: 48,69 cap: 213,28, vessel 2: -, vessel 3: -
Day: 5 - vessel 1: -, vessel 2: [14, 5, 4, 18, 19, 3, 7, 15] cost: 81667,11 dur: 47,44 cap: 176,08, vessel 3: [16, 13, 11, 17, 9, 8, 10, 1] cost: 66384,68 dur: 39,64 cap: 167,40
Day: 6 - vessel 1: -, vessel 2: -, vessel 3: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_3, number: 3, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	0.00	25.00	1000.00	1000.00	1000.00	601252.85	0.00	0.00	5.41	17.00	0.00	23.02	16.44	0.00	10.83	10.40
1	0.00	26.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	22.20	16.38	0.00	10.83	10.36
2	0.00	27.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.98	16.19	0.00	10.83	10.32
3	0.00	28.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	23.14	16.21	0.00	10.83	10.34
4	0.00	29.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	23.59	16.52	0.00	10.83	10.43
5	0.00	30.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	22.88	16.30	0.00	10.83	10.35
6	0.00	31.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	22.18	15.84	0.00	10.83	10.25
7	0.00	32.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	22.06	15.81	0.00	10.83	10.22
8	0.00	33.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.98	15.85	0.00	10.83	10.24
9	0.00	34.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.78	15.94	0.00	10.83	10.26
10	0.00	35.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.57	15.80	0.00	10.83	10.23
11	0.00	36.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	22.13	15.83	0.00	10.83	10.25
12	0.00	37.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.79	15.73	0.00	10.83	10.22
13	0.00	38.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.72	15.68	0.00	10.83	10.19
14	0.00	39.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.17	15.67	0.00	10.83	10.17
15	0.00	40.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.82	15.57	0.00	10.83	10.15
16	0.00	41.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.70	15.68	0.00	10.83	10.17
17	0.00	42.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.28	15.67	0.00	10.83	10.14
18	0.00	43.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.56	15.72	0.00	10.83	10.16
19	0.00	44.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.85	15.64	0.00	10.83	10.14
20	0.00	45.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.84	15.67	0.00	10.83	10.16
21	0.00	46.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.78	15.65	0.00	10.83	10.14
22	0.00	47.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.81	15.74	0.00	10.83	10.15
23	0.00	48.00	850.00	1200.00	1200.00	605734.05	0.00	0.00	5.41	17.00	0.00	21.38	15.83	0.00	10.83	10.17
