Skip number of rows: 61
Time used: 104,48 seconds

Problem instance parameters: 
Problem size = 9
Time windows = false
Maximum duration = 3
Best known sailing cost = 537616
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,6
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 500
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 75
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 6633
Diversifaction happened at iterations: [500, 1000, 1500, 2133, 2633, 3133, 3633, 4133, 4633, 5133, 5633, 6133, 6633]
Number of crossover restarts: 58672
Number of construction heuristic restarts: 1402

Penalized cost: 374896,00
Gap from BKS: -0,30
Day: 0 - vessel 1: -, vessel 2: [2, 8, 3, 4, 5, 7, 1] cost: 88805,38 dur: 48,39 cap: 151,28
Day: 1 - vessel 1: [2, 8, 9, 3, 4, 5, 7, 1] cost: 92489,65 dur: 51,41 cap: 176,08, vessel 2: -
Day: 2 - vessel 1: -, vessel 2: -
Day: 3 - vessel 1: -, vessel 2: [7] cost: 39542,85 dur: 17,31 cap: 14,88
Day: 4 - vessel 1: [2, 8, 9, 3, 4, 5, 7, 1] cost: 92489,65 dur: 51,41 cap: 176,08, vessel 2: -
Day: 5 - vessel 1: -, vessel 2: [7, 6, 9, 8, 1] cost: 61568,47 dur: 32,40 cap: 151,28
Day: 6 - vessel 1: -, vessel 2: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	46.00	54.00	1000.00	1000.00	1000.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.43	0.03	-0.30	5.80	5.78
1	47.00	54.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.41	0.03	-0.30	5.80	5.78
2	47.00	55.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.51	0.03	-0.30	5.80	5.78
3	48.00	55.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.50	0.03	-0.30	5.80	5.78
4	48.00	56.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.49	0.03	-0.30	5.80	5.78
5	49.00	56.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.47	0.03	-0.30	5.80	5.78
6	49.00	57.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.46	0.03	-0.30	5.80	5.78
7	49.00	58.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.51	0.03	-0.30	5.80	5.78
8	50.00	58.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.50	0.03	-0.30	5.80	5.78
9	50.00	59.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.59	0.03	-0.30	5.80	5.78
10	50.00	60.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.58	0.03	-0.30	5.80	5.78
11	51.00	60.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.57	0.03	-0.30	5.80	5.78
12	52.00	60.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.55	0.03	-0.30	5.80	5.78
13	52.00	61.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.54	0.03	-0.30	5.80	5.78
14	52.00	62.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.63	0.03	-0.30	5.80	5.78
15	52.00	63.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.62	0.03	-0.30	5.80	5.78
16	52.00	64.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.60	0.03	-0.30	5.80	5.78
17	53.00	64.00	850.00	1200.00	850.00	374896.00	374896.00	0.00	0.00	0.00	0.00	1.59	0.03	-0.30	5.80	5.78
