Skip number of rows: 62
Time used: 338,21 seconds

Problem instance parameters: 
Problem size = 18
Time windows = false
Maximum duration = 3
Best known sailing cost = 537616
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,6
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 500
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 75
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 7668
Diversifaction happened at iterations: [500, 1000, 2467, 3168, 3668, 4168, 4668, 5168, 5668, 6168, 6668, 7168, 7668]
Number of crossover restarts: 83080
Number of construction heuristic restarts: 1208

Penalized cost: 634033,30
Gap from BKS: 0,18
Day: 0 - vessel 1: [16, 15, 11, 17, 9, 10, 8, 1] cost: 66428,31 dur: 39,66 cap: 167,40, vessel 2: [2, 12, 18, 3, 4, 5, 7, 13] cost: 96702,32 dur: 53,40 cap: 176,08, vessel 3: -
Day: 1 - vessel 1: -, vessel 2: -, vessel 3: [2, 12, 8, 11, 17, 7, 14, 15] cost: 84357,60 dur: 47,05 cap: 151,28
Day: 2 - vessel 1: [14, 5, 4, 18, 3, 7, 13, 1] cost: 83397,75 dur: 48,41 cap: 169,88, vessel 2: -, vessel 3: -
Day: 3 - vessel 1: -, vessel 2: [16, 15, 11, 17, 9, 10, 8, 12] cost: 66864,60 dur: 39,34 cap: 167,40, vessel 3: -
Day: 4 - vessel 1: -, vessel 2: -, vessel 3: [1, 13, 14, 7, 5, 4, 3, 2] cost: 95742,47 dur: 53,75 cap: 169,88
Day: 5 - vessel 1: [12, 10, 8, 9, 17, 11, 1, 16] cost: 67526,32 dur: 39,61 cap: 167,40, vessel 2: [13, 6, 18, 7, 14, 15] cost: 73013,93 dur: 39,87 cap: 169,88, vessel 3: -
Day: 6 - vessel 1: -, vessel 2: -, vessel 3: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_3, number: 3, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	0.00	25.00	1000.00	1000.00	1000.00	578282.76	0.00	0.00	1.64	17.00	0.00	17.09	13.16	0.00	10.33	9.60
1	0.00	26.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	17.35	13.15	0.00	10.33	9.57
2	0.00	27.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.72	12.89	0.00	10.33	9.50
3	0.00	28.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.13	12.82	0.00	10.33	9.48
4	0.00	29.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	17.31	13.21	0.00	10.33	9.58
5	0.00	30.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	17.59	13.10	0.00	10.33	9.55
6	0.00	31.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	17.51	12.97	0.00	10.33	9.53
7	0.00	32.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	17.33	12.81	0.00	10.33	9.51
8	0.00	33.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	17.72	12.88	0.00	10.33	9.53
9	0.00	34.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	17.20	12.85	0.00	10.33	9.51
10	0.00	35.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.85	12.91	0.00	10.33	9.54
11	0.00	36.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.41	12.83	0.00	10.33	9.52
12	0.00	37.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.65	12.89	0.00	10.33	9.54
13	0.00	38.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.57	12.97	0.00	10.33	9.56
14	0.00	39.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.18	12.87	0.00	10.33	9.54
15	0.00	40.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	16.01	12.93	0.00	10.33	9.56
16	0.00	41.00	850.00	1200.00	1200.00	582011.76	0.00	0.00	1.64	17.00	0.00	15.65	12.83	0.00	10.33	9.55
17	0.00	42.00	850.00	1200.00	1200.00	581871.85	0.00	0.00	19.75	22.00	0.00	15.75	13.05	0.00	12.40	9.61
18	0.00	43.00	850.00	1200.00	1200.00	581871.85	0.00	0.00	19.75	22.00	0.00	15.61	13.14	0.00	12.40	9.63
19	0.00	44.00	850.00	1200.00	1200.00	581871.85	0.00	0.00	19.75	22.00	0.00	15.25	13.07	0.00	12.40	9.61
20	0.00	45.00	850.00	1200.00	1200.00	581871.85	0.00	0.00	19.75	22.00	0.00	14.97	13.02	0.00	12.40	9.60
21	0.00	46.00	850.00	1200.00	1200.00	581871.85	0.00	0.00	19.75	22.00	0.00	14.84	13.02	0.00	12.40	9.58
22	0.00	47.00	850.00	1200.00	1200.00	581871.85	0.00	0.00	19.75	22.00	0.00	14.97	12.81	0.00	12.40	9.54
