Skip number of rows: 62
Time used: 401,70 seconds

Problem instance parameters: 
Problem size = 18
Time windows = false
Maximum duration = 3
Best known sailing cost = 537616
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,6
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 500
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 75
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 9398
Diversifaction happened at iterations: [500, 1000, 3225, 4898, 5398, 5898, 6398, 6898, 7398, 7898, 8398, 8898, 9398]
Number of crossover restarts: 83520
Number of construction heuristic restarts: 1157

Penalized cost: 618460,00
Gap from BKS: 0,15
Day: 0 - vessel 1: [2, 12, 18, 3, 4, 5, 7, 14] cost: 96457,51 dur: 53,29 cap: 176,08, vessel 2: -, vessel 3: [16, 13, 11, 17, 9, 10, 8, 1] cost: 66384,68 dur: 39,64 cap: 167,40
Day: 1 - vessel 1: -, vessel 2: [15, 14, 5, 4, 18, 3, 7, 1] cost: 82777,24 dur: 48,15 cap: 169,88, vessel 3: -
Day: 2 - vessel 1: -, vessel 2: -, vessel 3: [15, 13, 7, 11, 17, 8, 12, 2] cost: 84677,55 dur: 47,19 cap: 151,28
Day: 3 - vessel 1: [16, 1, 11, 17, 9, 8, 10, 12] cost: 67526,32 dur: 39,61 cap: 167,40, vessel 2: -, vessel 3: -
Day: 4 - vessel 1: -, vessel 2: [15, 14, 5, 4, 18, 3, 7, 13] cost: 82018,57 dur: 47,84 cap: 169,88, vessel 3: -
Day: 5 - vessel 1: [1, 6, 7, 14, 13, 15, 16] cost: 68600,09 dur: 39,80 cap: 188,48, vessel 2: -, vessel 3: [11, 17, 9, 8, 10, 12, 2] cost: 70018,04 dur: 39,14 cap: 148,80
Day: 6 - vessel 1: -, vessel 2: -, vessel 3: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_3, number: 3, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	0.00	25.00	1000.00	1000.00	1000.00	570175.75	0.00	0.00	0.00	17.00	0.00	14.86	13.48	0.00	10.33	9.86
1	0.00	26.00	850.00	1200.00	1200.00	573575.75	0.00	0.00	0.00	17.00	0.00	15.09	13.54	0.00	10.33	9.88
2	0.00	27.00	850.00	1200.00	1200.00	573575.75	0.00	0.00	0.00	17.00	0.00	15.43	13.89	0.00	10.33	9.97
3	0.00	28.00	850.00	1200.00	1200.00	573575.75	0.00	0.00	0.00	17.00	0.00	15.11	13.96	0.00	10.33	9.99
4	0.00	29.00	850.00	1200.00	1200.00	573575.75	0.00	0.00	0.00	17.00	0.00	15.08	14.07	0.00	10.33	10.00
5	0.00	30.00	850.00	1200.00	1200.00	573575.75	0.00	0.00	0.00	17.00	0.00	14.58	14.07	0.00	10.33	10.01
6	0.00	31.00	850.00	1200.00	1200.00	573575.75	0.00	0.00	0.00	17.00	0.00	14.16	14.03	0.00	10.33	9.97
7	0.00	32.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	13.72	14.12	0.00	10.33	9.98
8	0.00	33.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	14.08	14.15	0.00	10.33	9.99
9	0.00	34.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	15.07	14.38	0.00	10.33	10.06
10	0.00	35.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	14.84	14.49	0.00	10.33	10.07
11	0.00	36.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	15.10	14.72	0.00	10.33	10.14
12	0.00	37.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	15.02	14.76	0.00	10.33	10.14
13	0.00	38.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	14.66	14.84	0.00	10.33	10.15
14	0.00	39.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	14.89	15.05	0.00	10.33	10.20
15	0.00	40.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	14.94	15.07	0.00	10.33	10.21
16	0.00	41.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	15.07	15.05	0.00	10.33	10.21
17	0.00	42.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	14.82	15.10	0.00	10.33	10.21
18	0.00	43.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	15.64	15.28	0.00	10.33	10.26
19	0.00	44.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	16.11	15.11	0.00	10.33	10.23
20	0.00	45.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	16.70	15.29	0.00	10.33	10.28
21	0.00	46.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	16.43	15.02	0.00	10.33	10.23
22	0.00	47.00	850.00	1200.00	1200.00	573076.44	0.00	0.00	0.00	17.00	0.00	16.30	15.02	0.00	10.33	10.23
