Skip number of rows: 63
Time used: 521,64 seconds

Problem instance parameters: 
Problem size = 25
Time windows = false
Maximum duration = 3
Best known sailing cost = 537616
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,6
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 500
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 25
Parent selection protocol = binary tournament
Number of offspring in a generation = 75
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 8044
Diversifaction happened at iterations: [500, 1000, 2229, 3544, 4044, 4544, 5044, 5544, 6044, 6544, 7044, 7544, 8044]
Number of crossover restarts: 21410
Number of construction heuristic restarts: 621

Penalized cost: 716662,69
Gap from BKS: 0,33
Day: 0 - vessel 1: -, vessel 2: [23, 1, 13, 22, 15, 16] cost: 49514,61 dur: 30,93 cap: 155,00, vessel 3: [5, 4, 20, 18, 19, 3, 7, 14] cost: 81492,60 dur: 47,12 cap: 182,28, vessel 4: -
Day: 1 - vessel 1: -, vessel 2: -, vessel 3: -, vessel 4: [11, 17, 9, 8, 10, 12, 2] cost: 70018,04 dur: 39,14 cap: 148,80
Day: 2 - vessel 1: [1, 11, 17, 9, 8, 10, 12, 2] cost: 74868,19 dur: 43,14 cap: 167,40, vessel 2: [13, 25, 6, 24, 7, 14, 15] cost: 66590,71 dur: 37,97 cap: 293,88, vessel 3: -, vessel 4: -
Day: 3 - vessel 1: -, vessel 2: -, vessel 3: [14, 7, 3, 19, 18, 20, 4, 5] cost: 81492,60 dur: 47,12 cap: 182,28, vessel 4: [23, 1, 21, 13, 22, 15, 16] cost: 55099,19 dur: 35,23 cap: 229,40
Day: 4 - vessel 1: -, vessel 2: [12, 8, 17, 11, 19, 18, 20, 7] cost: 85952,50 dur: 46,96 cap: 163,68, vessel 3: -, vessel 4: -
Day: 5 - vessel 1: [2, 12, 10, 8, 9, 11, 17, 1] cost: 74868,19 dur: 43,14 cap: 167,40, vessel 2: -, vessel 3: -, vessel 4: [16, 15, 14, 5, 4, 3, 7, 13] cost: 76766,07 dur: 45,42 cap: 169,88
Day: 6 - vessel 1: -, vessel 2: -, vessel 3: -, vessel 4: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_3, number: 3, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_4, number: 4, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	0.00	25.00	1000.00	1000.00	1000.00	667343.42	0.00	0.00	17.79	28.00	0.00	22.84	18.72	0.00	12.50	10.38
1	0.00	26.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.42	19.04	0.00	10.71	10.46
2	0.00	27.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	23.65	19.11	0.00	10.71	10.47
3	0.00	28.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.74	19.39	0.00	10.71	10.54
4	0.00	29.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.50	19.66	0.00	10.71	10.61
5	0.00	30.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.41	19.70	0.00	10.71	10.62
6	0.00	31.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	23.91	19.71	0.00	10.71	10.62
7	0.00	32.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.52	20.19	0.00	10.71	10.76
8	0.00	33.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.92	20.39	0.00	10.71	10.81
9	0.00	34.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.74	20.21	0.00	10.71	10.77
10	0.00	35.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.51	20.03	0.00	10.71	10.73
11	0.00	36.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.47	20.06	0.00	10.71	10.73
12	0.00	37.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	23.92	20.11	0.00	10.71	10.73
13	0.00	38.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	23.97	20.13	0.00	10.71	10.73
14	0.00	39.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.43	20.31	0.00	10.71	10.77
15	0.00	40.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.13	20.30	0.00	10.71	10.77
16	0.00	41.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.14	20.46	0.00	10.71	10.81
17	0.00	42.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	24.17	20.24	0.00	10.71	10.78
18	0.00	43.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	23.87	20.09	0.00	10.71	10.74
19	0.00	44.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	23.40	19.82	0.00	10.71	10.69
20	0.00	45.00	850.00	1200.00	1200.00	674020.83	0.00	0.00	0.22	20.00	0.00	23.34	19.98	0.00	10.71	10.73
21	0.00	46.00	850.00	1200.00	1200.00	666645.08	0.00	0.00	0.00	19.00	0.00	22.83	19.96	0.00	10.71	10.73
22	0.00	47.00	850.00	1200.00	1200.00	666645.08	0.00	0.00	0.00	19.00	0.00	22.89	19.68	0.00	10.71	10.68
23	0.00	48.00	850.00	1200.00	1200.00	666645.08	0.00	0.00	0.00	19.00	0.00	22.42	19.62	0.00	10.71	10.65
24	0.00	49.00	850.00	1200.00	1200.00	666645.08	0.00	0.00	0.00	19.00	0.00	21.96	19.61	0.00	10.71	10.65
25	0.00	50.00	850.00	1200.00	1200.00	666645.08	0.00	0.00	0.00	19.00	0.00	21.75	19.48	0.00	10.71	10.63
26	0.00	51.00	850.00	1200.00	1200.00	666645.08	0.00	0.00	0.00	19.00	0.00	22.10	19.63	0.00	10.71	10.66
