Skip number of rows: 61
Time used: 38,87 seconds

Problem instance parameters: 
Problem size = 7
Time windows = false
Maximum duration = 3
Best known sailing cost = 341016
Minimum number of installations = 1
Length of planning period = 7
Load factor = 1,2
Total charter cost of fleet = 7000000
Maximum number of installations = 8
Dataset sheet = 3
Minimum duration = 2

Heuristic parameters: 
Max iterations without improvement = 5000
Number of installations violation penalty = 1000
Fitness evaluation protocol = standard
Initial population heuristic = aimed
Reference proportion of feasible individuals = 0,4
Survivor selection protocol = standard
Diversification protocol = standard
Repair protocol = standard
Gap from best known solution = 0
Capacity constraint violation penalty = 1000
Proportion of elite individuals = 0,4
Education rate = 1
Iterations before diversify = 2000
Genotype to phenotype converter protocol = standard
Education protocol = standard
Proportion of individuals considered for distance evaluation = 0,2
Reproduction protocol = standard
Population size = 15
Parent selection protocol = binary tournament
Number of offspring in a generation = 50
Granularity threshold in RI = 0,4
Duration constraint violation penalty = 1000
Repair rate = 0,5

Number of iterations: 5015
Diversifaction happened at iterations: [2015, 4015]
Number of crossover restarts: 1331
Number of construction heuristic restarts: 183

Penalized cost: 341015,29
Gap from BKS: -0,00
Day: 0 - vessel 1: [2, 6, 7] cost: 63158,52 dur: 30,06 cap: 114,08, vessel 2: -
Day: 1 - vessel 1: -, vessel 2: [1, 7, 5, 4, 3, 2] cost: 84352,75 dur: 45,05 cap: 132,68
Day: 2 - vessel 1: [1, 7] cost: 45394,05 dur: 21,73 cap: 33,48, vessel 2: -
Day: 3 - vessel 1: -, vessel 2: -
Day: 4 - vessel 1: [2, 3, 4, 5, 7, 1] cost: 84352,75 dur: 45,05 cap: 132,68, vessel 2: -
Day: 5 - vessel 1: -, vessel 2: [5, 4, 3, 7, 1] cost: 63757,21 dur: 34,55 cap: 107,88
Day: 6 - vessel 1: -, vessel 2: -

Chartered fleet:
Name: PSV_1, number: 1, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7
Name: PSV_2, number: 2, capacity: 600, speed: 10, unit fuel cost: 7129, fuel consumption sailing: 0.34, fuel consumption depot: 0.045, fuel consumption installation: 0.17, time charter cost: 200000, number of days available: 7

Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	gap from BKS	best visits pr voyage	avg visits pr voyage
0	39.00	21.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.26	0.00	-0.00	4.40	4.40
1	40.00	21.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.24	0.00	-0.00	4.40	4.40
2	41.00	21.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.22	0.00	-0.00	4.40	4.40
3	42.00	21.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.20	0.00	-0.00	4.40	4.40
4	42.00	22.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.19	0.00	-0.00	4.40	4.40
5	43.00	22.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.18	0.00	-0.00	4.40	4.40
6	43.00	23.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.17	0.00	-0.00	4.40	4.40
7	43.00	24.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.23	0.00	-0.00	4.40	4.40
8	44.00	24.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.21	0.00	-0.00	4.40	4.40
9	45.00	24.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.19	0.00	-0.00	4.40	4.40
10	46.00	24.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.17	0.00	-0.00	4.40	4.40
11	47.00	24.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.16	0.00	-0.00	4.40	4.40
12	48.00	24.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.14	0.00	-0.00	4.40	4.40
13	49.00	24.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.13	0.00	-0.00	4.40	4.40
14	49.00	25.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.18	0.00	-0.00	4.40	4.40
15	50.00	25.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.16	0.00	-0.00	4.40	4.40
16	51.00	25.00	1000.00	1000.00	1000.00	341015.29	341015.29	0.00	0.00	0.00	0.00	1.15	0.00	-0.00	4.40	4.40
