some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation
1	1.00	50.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.70	26.33	0.00
2	1.00	51.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.43	26.03	0.00
3	1.00	52.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.18	25.60	0.00
4	1.00	53.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.94	25.59	0.00
5	1.00	54.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.70	25.64	0.00
6	1.00	55.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.47	25.31	0.00
7	1.00	56.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.26	25.41	0.00
8	1.00	57.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.04	25.29	0.00
9	1.00	58.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.84	25.06	0.00
10	1.00	59.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.64	24.97	0.00
11	1.00	60.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.45	24.95	0.00
12	1.00	61.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.27	24.83	0.00
13	1.00	62.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.09	24.96	0.00
14	1.00	63.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.92	24.75	0.00
15	1.00	64.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.75	24.79	0.00
16	1.00	65.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.58	24.77	0.00
17	1.00	66.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.43	24.77	0.00
18	1.00	67.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.27	24.67	0.00
19	1.00	68.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.12	24.49	0.00
20	1.00	69.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.98	24.61	0.00
21	1.00	70.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.25	24.27	0.00
22	1.00	71.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.09	24.19	0.00
23	1.00	72.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.94	24.26	0.00
24	1.00	73.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.79	24.06	0.00
25	1.00	74.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.65	23.97	0.00
26	1.00	25.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.52	14.84	0.00
27	1.00	26.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.09	14.91	0.00
28	1.00	27.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.69	15.34	0.00
29	1.00	28.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.32	15.66	0.00
30	1.00	29.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.98	15.79	0.00
31	2.00	29.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.66	15.28	0.00
32	2.00	30.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.36	15.05	0.00
33	2.00	31.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.07	15.16	0.00
34	2.00	32.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	8.81	15.49	0.00
35	2.00	33.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	8.55	16.91	0.00
36	2.00	34.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	8.32	17.13	0.00
37	2.00	35.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	8.09	16.89	0.00
38	2.00	36.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	7.88	16.63	0.00
39	2.00	37.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	7.68	16.71	0.00
40	2.00	38.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	7.48	16.63	0.00
41	2.00	39.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	7.30	16.51	0.00
42	2.00	40.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.50	16.11	0.00
43	3.00	40.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.28	15.74	0.00
44	3.00	41.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.07	15.84	0.00
45	3.00	42.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.09	15.49	0.00
46	3.00	43.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.85	15.60	0.00
47	3.00	44.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.62	15.45	0.00
48	4.00	44.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.40	15.13	0.00
49	4.00	45.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.18	15.16	0.00
50	4.00	46.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.98	14.98	0.00
51	4.00	47.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	9.78	14.90	0.00
52	4.00	48.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.52	14.61	0.00
53	4.00	49.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.30	14.81	0.00
54	4.00	50.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	11.09	14.90	0.00
55	4.00	51.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.89	14.99	0.00
56	4.00	52.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	10.69	15.17	0.00
57	4.00	53.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.26	14.95	0.00
58	4.00	54.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.77	14.69	0.00
59	4.00	55.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	15.22	14.64	0.00
60	4.00	56.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	14.97	15.48	0.00
61	4.00	57.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	14.72	15.41	0.00
62	5.00	57.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	14.49	15.16	0.00
63	5.00	58.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	14.26	15.88	0.00
64	5.00	59.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	14.03	15.90	0.00
65	6.00	59.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.82	15.65	0.00
66	6.00	60.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.61	15.85	0.00
67	7.00	60.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.41	15.61	0.00
68	7.00	61.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.21	15.53	0.00
69	7.00	62.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.02	15.52	0.00
70	8.00	62.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.83	15.30	0.00
71	8.00	63.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	14.06	15.25	0.00
72	9.00	63.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.86	15.04	0.00
73	9.00	64.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.67	15.13	0.00
74	9.00	65.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.49	15.46	0.00
75	9.00	66.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.31	15.45	0.00
76	9.00	67.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	13.13	15.37	0.00
77	9.00	68.00	1200.00	12000.00	42500.00	667022.03	667022.03	0.00	0.00	0.00	12.96	15.57	0.00
78	10.00	68.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.79	15.37	0.00
79	11.00	68.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.63	15.17	0.00
80	11.00	69.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.72	15.40	0.00
81	11.00	70.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.55	15.36	0.00
82	11.00	71.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.39	15.27	0.00
83	11.00	72.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.23	15.12	0.00
84	11.00	73.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.07	15.24	0.00
85	11.00	74.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.92	15.36	0.00
86	11.00	25.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.86	8.18	0.00
87	11.00	26.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.49	8.73	0.00
88	11.00	27.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.13	8.83	0.00
89	11.00	28.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.79	9.03	0.00
90	11.00	29.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.47	9.01	0.00
91	11.00	30.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.17	8.99	0.00
92	11.00	31.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	11.88	9.24	0.00
93	11.00	32.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	11.60	9.65	0.00
94	11.00	33.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.61	9.43	0.00
95	12.00	33.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.31	9.22	0.00
96	13.00	33.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	13.02	9.02	0.00
97	13.00	34.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.74	9.00	0.00
98	13.00	35.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.47	8.87	0.00
99	13.00	36.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	12.22	8.75	0.00
100	13.00	37.00	1200.00	12000.00	42500.00	613697.11	613697.11	0.00	0.00	0.00	11.98	10.55	0.00
101	13.00	38.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.74	10.41	0.00
102	13.00	39.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.52	10.43	0.00
103	14.00	39.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.30	10.24	0.00
104	14.00	40.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.09	10.20	0.00
105	14.00	41.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.89	10.07	0.00
106	14.00	42.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.69	10.09	0.00
107	14.00	43.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.51	10.47	0.00
108	14.00	44.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.32	10.65	0.00
109	14.00	45.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.15	10.58	0.00
110	14.00	46.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.98	10.61	0.00
111	14.00	47.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.45	10.89	0.00
112	15.00	47.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.27	10.71	0.00
113	15.00	48.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.09	10.67	0.00
114	15.00	49.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.92	10.63	0.00
115	15.00	50.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.75	10.80	0.00
116	15.00	51.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.58	10.74	0.00
117	15.00	52.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.43	10.62	0.00
118	15.00	53.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.27	10.51	0.00
119	15.00	54.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.12	10.64	0.00
120	15.00	55.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.41	10.75	0.00
121	15.00	56.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.25	10.63	0.00
122	15.00	57.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	11.09	10.53	0.00
123	15.00	58.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.94	10.65	0.00
124	15.00	59.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.79	10.62	0.00
125	15.00	60.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.65	10.96	0.00
126	15.00	61.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.51	10.92	0.00
127	15.00	62.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.37	11.05	0.00
128	15.00	63.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.24	11.14	0.00
129	15.00	64.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	10.11	11.10	0.00
130	15.00	65.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.98	11.19	0.00
131	15.00	66.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.86	11.38	0.00
132	15.00	67.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.74	11.36	0.00
133	15.00	68.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.62	11.43	0.00
134	16.00	68.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.50	11.30	0.00
135	16.00	69.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.39	11.54	0.00
136	16.00	70.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.28	11.60	0.00
137	17.00	70.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.18	11.46	0.00
138	17.00	71.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	9.07	11.59	0.00
139	17.00	72.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	8.97	12.10	0.00
140	17.00	73.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	8.87	12.26	0.00
141	17.00	74.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	8.77	12.25	0.00
142	18.00	74.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	8.68	12.12	0.00
143	18.00	25.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	6.96	8.88	0.00
144	18.00	26.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	6.80	9.24	0.00
145	18.00	27.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	6.65	9.40	0.00
146	19.00	27.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	6.51	9.20	0.00
147	19.00	28.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	6.37	9.06	0.00
148	19.00	29.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	6.24	9.17	0.00
149	19.00	30.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	6.11	9.32	0.00
150	19.00	31.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	5.99	9.42	0.00
151	19.00	32.00	1440.00	14400.00	36125.00	613697.11	613697.11	0.00	0.00	0.00	5.87	9.56	0.00
