some parameters
Gen.	# feasible solutions	# infeasible solutions	cap. penality	dur. penality	num. penality	best penalized cost	best feasible cost	best cap. violation	best dur. violation	best num. violation	avg cap. violation	avg dur. violation	avg num. violation	Gap from BKS
1	0.00	51.00	1200.00	12000.00	60000.00	976257.58	0.00	0.00	5.49	0.00	265.91	61.42	2.10	0.00
2	0.00	52.00	1200.00	12000.00	60000.00	976257.58	0.00	0.00	5.49	0.00	260.80	60.79	2.06	0.00
3	0.00	53.00	1200.00	12000.00	60000.00	976257.58	0.00	0.00	5.49	0.00	255.88	59.83	2.02	0.00
4	0.00	54.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	251.14	58.75	1.98	0.00
5	0.00	55.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	246.57	57.70	1.95	0.00
6	0.00	56.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	242.17	56.76	1.91	0.00
7	0.00	57.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	237.92	55.85	1.88	0.00
8	0.00	58.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	241.08	56.69	1.91	0.00
9	0.00	59.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	236.99	56.14	1.88	0.00
10	0.00	60.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	233.04	55.28	1.85	0.00
11	0.00	61.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	229.22	54.58	1.82	0.00
12	0.00	62.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	225.53	54.08	1.79	0.00
13	0.00	63.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	221.95	53.56	1.76	0.00
14	0.00	64.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	218.48	52.84	1.73	0.00
15	0.00	65.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	218.78	52.32	1.75	0.00
16	0.00	66.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	215.46	51.92	1.73	0.00
17	0.00	67.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	212.25	51.73	1.70	0.00
18	0.00	68.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	209.12	51.39	1.68	0.00
19	0.00	69.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	206.09	51.18	1.65	0.00
20	0.00	70.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	203.15	50.70	1.63	0.00
21	0.00	71.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	204.26	50.55	1.65	0.00
22	0.00	72.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	201.48	49.99	1.62	0.00
23	0.00	73.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	203.52	50.04	1.64	0.00
24	0.00	74.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	200.77	49.39	1.62	0.00
25	0.00	25.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	44.38	25.16	0.40	0.00
26	0.00	26.00	1200.00	12000.00	60000.00	949616.18	0.00	0.00	1.25	0.00	42.67	24.50	0.38	0.00
27	0.00	27.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	41.09	23.62	0.37	0.00
28	0.00	28.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	39.62	22.93	0.36	0.00
29	0.00	29.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	38.26	22.22	0.34	0.00
30	0.00	30.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	36.98	21.62	0.33	0.00
31	0.00	31.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	35.79	21.00	0.32	0.00
32	0.00	32.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	34.67	21.10	0.31	0.00
33	0.00	33.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	33.62	20.78	0.30	0.00
34	0.00	34.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	32.63	20.45	0.29	0.00
35	0.00	35.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	31.70	20.55	0.29	0.00
36	0.00	36.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	30.82	20.46	0.28	0.00
37	0.00	37.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	29.99	20.56	0.27	0.00
38	0.00	38.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	29.31	20.29	0.26	0.00
39	0.00	39.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	28.56	20.01	0.26	0.00
40	0.00	40.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	33.79	19.98	0.33	0.00
41	0.00	41.00	1200.00	12000.00	60000.00	936344.60	0.00	0.00	0.75	0.00	32.97	19.92	0.32	0.00
